population,response,mean,sd,n
b_cell,no,9.996319710875161,3.117653042092421,975
b_cell,yes,9.797552613770158,3.3225493122890666,993
cd4_t_cell,no,29.90226177625406,4.823864565167452,975
cd4_t_cell,yes,30.53780834185009,5.207558326383486,993
cd8_t_cell,no,24.943924357525862,4.4172662506514895,975
cd8_t_cell,yes,24.88193159509671,4.9144812276709775,993
monocyte,no,20.084327940698326,4.010923839606721,975
monocyte,yes,19.941763178422633,4.64225112539138,993
nk_cell,no,15.07316621464659,3.7673860579818435,975
nk_cell,yes,14.840944270860408,4.13205538451006,993
